Unnamed: 0,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash,feat_PE,feat_PB,feat_Div_Yield,Open,High,Low,Close,USDINR
372.0,2024-02-16,9504.0,8044.0,1459.0,10908.0,253.0,1571.0,22.76,3.86,1.22,22020.3,22068.65,21968.95,22040.7,0.0
371.0,2024-02-19,9504.0,8044.0,1459.0,10908.0,-755.0,453.0,22.84,3.88,1.2,22103.45,22186.65,22021.05,22122.25,0.0
370.0,2024-02-20,9504.0,8044.0,1459.0,10908.0,-1336.0,1491.0,22.92,3.89,1.21,22099.2,22215.6,22045.85,22196.95,0.0
369.0,2024-02-21,9504.0,8044.0,1459.0,10908.0,285.0,-412.0,22.77,3.86,1.23,22248.85,22249.4,21997.95,22055.05,0.0
368.0,2024-02-22,9504.0,8044.0,1459.0,10908.0,-1410.0,1826.0,22.94,3.89,1.22,22081.55,22252.5,21875.25,22217.45,0.0
367.0,2024-02-23,9504.0,8044.0,1459.0,10908.0,1276.0,177.0,22.93,3.89,1.22,22290.0,22297.5,22186.1,22212.7,0.0
366.0,2024-02-26,9504.0,8044.0,1459.0,10908.0,-285.0,-5.0,22.84,3.87,1.21,22169.2,22202.15,22075.15,22122.05,0.0
365.0,2024-02-27,9504.0,8044.0,1459.0,10908.0,-1509.0,2862.0,22.92,3.89,1.21,22090.2,22218.25,22085.65,22198.35,0.0
364.0,2024-02-28,9504.0,8044.0,1459.0,10908.0,-1879.0,1827.0,22.66,3.84,1.22,22214.1,22229.15,21915.85,21951.15,0.0
363.0,2024-02-29,9504.0,8044.0,1459.0,10908.0,3568.0,-230.0,22.7,3.85,1.22,21935.2,22060.55,21860.65,21982.8,0.0
362.0,2024-03-01,9504.0,8044.0,1459.0,10908.0,129.0,3815.0,23.06,3.91,1.2,22048.3,22353.3,22047.75,22338.75,0.0
361.0,2024-03-02,9504.0,8044.0,1459.0,10908.0,-82.0,-45.0,23.1,3.92,1.2,22406.95,22419.55,22367.05,22378.4,0.0
360.0,2024-03-04,9504.0,8044.0,1459.0,10908.0,-564.0,3543.0,23.13,3.92,1.2,22403.5,22440.9,22358.3,22405.6,0.0
359.0,2024-03-05,9504.0,8044.0,1459.0,10908.0,574.0,1835.0,23.08,3.92,1.2,22371.25,22416.9,22269.15,22356.3,0.0
358.0,2024-03-06,9504.0,8044.0,1459.0,10908.0,2767.0,2150.0,23.2,3.94,1.19,22327.5,22497.2,22224.35,22474.05,0.0
357.0,2024-03-07,-1535.0,822.0,12546.0,-33795.0,7304.0,2602.0,23.22,3.94,1.19,22505.3,22525.65,22430.0,22493.55,0.0
356.0,2024-03-11,-54856.0,-173.0,-1180.0,-34975.0,4213.0,3238.0,23.06,3.91,1.2,22517.5,22526.6,22307.25,22332.65,0.0
355.0,2024-03-12,-23917.0,442.0,4654.0,-30321.0,73.0,2358.0,23.06,3.91,1.2,22334.45,22452.55,22256.0,22335.7,0.0
354.0,2024-03-13,78424.0,-1382.0,-13499.0,-43820.0,-4595.0,9094.0,22.71,3.85,1.22,22432.2,22446.75,21905.65,21997.7,0.0
353.0,2024-03-14,54368.0,-711.0,-7171.0,-50991.0,-1356.0,139.0,22.86,3.88,1.21,21982.55,22204.6,21917.5,22146.65,0.0
352.0,2024-03-15,-70755.0,-633.0,-6399.0,-57390.0,849.0,-682.0,22.74,3.86,1.22,22064.85,22120.9,21931.7,22023.35,0.0
