Date,feat_Div_Yield,feat_PB,feat_PE,Open,High,Low,Close,new_high_new_low,nifty_above_dma,sector,FIICash,DIIcash
22-Nov-22,1.32,4.28,21.93,18179.15,18261.85,18137.7,18244.2,7,68.6,0.002246101,1436,-549
23-Nov-22,1.31,4.29,21.95,18325.2,18325.4,18246,18267.25,3,65.2,0.002327418,1949,-844
24-Nov-22,1.3,4.34,22.21,18326.1,18529.7,18294.25,18484.1,-1,61.2,0.002357688,387,-1060
25-Nov-22,1.3,4.35,22.25,18528.45,18534.9,18445.1,18512.75,-4,56.8,0.002332366,36,-967
28-Nov-22,1.29,4.36,22.31,18430.55,18614.25,18365.6,18562.75,0,53.8,0.002198976,3958,616
29-Nov-22,1.29,4.37,22.37,18552.45,18678.1,18552.15,18618.05,0,51,0.00202248,1089,47
30-Nov-22,1.28,4.4,22.54,18625.7,18816.05,18616.55,18758.35,5,52.6,0.001973112,-221,-549
01-Dec-22,1.28,4.42,22.61,18871.95,18887.6,18778.2,18812.5,7,53.8,0.001883069,-386,1437
02-Dec-22,1.28,4.39,22.47,18752.4,18781.95,18639.2,18696.1,9,54.8,0.001863192,618,449
05-Dec-22,1.28,4.39,22.47,18719.55,18728.6,18591.35,18701.05,8,56.4,0.001966642,-751,890
06-Dec-22,1.26,4.38,22.4,18600.65,18654.9,18577.9,18642.75,11,58.8,0.00206698,-1594,1263
07-Dec-22,1.27,4.36,22.31,18638.85,18668.3,18528.4,18560.5,17,62.4,0.002144694,-698,636
08-Dec-22,1.27,4.37,22.36,18570.85,18625,18536.95,18609.35,7,64.8,0.002211576,-790,414
09-Dec-22,1.27,4.34,22.23,18662.4,18664.7,18410.1,18496.6,6,69,0.002186904,1232,-236
12-Dec-22,1.27,4.34,22.23,18402.15,18521.55,18345.7,18497.15,0,70.2,0.002161205,369,-296
13-Dec-22,1.27,4.37,22.36,18524.4,18617.25,18490.2,18608,0,70,0.002142559,936,88
14-Dec-22,1.26,4.38,22.43,18671.25,18696.1,18632.9,18660.3,-1,68,0.00210641,1242,-744
15-Dec-22,1.28,4.32,22.13,18614.4,18652.9,18387.7,18414.9,0,64.2,0.002054241,9010,-4056
16-Dec-22,1.29,4.29,21.96,18319.1,18440.95,18255.15,18269,-5,62,0.001994891,-1566,2665
19-Dec-22,1.28,4.32,22.14,18288.1,18431.65,18244.55,18420.45,3,59.6,0.001829791,215,712
20-Dec-22,1.28,4.32,22.1,18340.3,18404.9,18202.65,18385.3,8,57.8,0.00160769,-1139,2608
21-Dec-22,1.29,4.27,21.87,18435.15,18473.35,18162.75,18199.1,5,53,0.00136132,-635,-559
22-Dec-22,1.27,4.26,21.79,18288.8,18318.75,18068.6,18127.35,-6,48,0.00111643,-1242,389
23-Dec-22,1.29,4.18,21.4,17977.65,18050.45,17779.5,17806.8,0,45.2,0.000840331,-1132,772
26-Dec-22,1.28,4.23,21.65,17830.4,18084.1,17774.25,18014.6,-7,42,0.000586941,-158,502
27-Dec-22,1.27,4.26,21.79,18089.8,18149.25,17967.45,18132.3,-5,38.8,0.000391692,-139,696
28-Dec-22,1.27,4.25,21.78,18084.75,18173.1,18068.35,18122.5,-11,35.4,0.000217355,620,37
29-Dec-22,1.27,4.27,21.86,18045.7,18229.7,17992.8,18191,-23,32.4,8.56E-05,372,926
30-Dec-22,1.27,4.25,21.79,18259.1,18265.25,18080.3,18105.3,-19,28.8,-3.03E-05,-711,261
02-Jan-23,1.26,4.27,21.9,18131.7,18215.15,18086.5,18197.45,0,25.4,-1.13E-05,-1975,1543
03-Jan-23,1.26,4.28,21.94,18163.2,18251.95,18149.8,18232.55,0,21.6,4.11E-05,-538,687
04-Jan-23,1.27,4.23,21.71,18230.65,18243,18020.6,18042.95,-1,23.2,0.000140338,456,495
05-Jan-23,1.28,4.22,21.65,18101.95,18120.3,17892.6,17992.15,1,24.6,0.00023497,-1119,1757
06-Jan-23,1.29,4.19,21.49,18008.05,18047.4,17795.55,17859.45,1,23.8,0.00041067,929,2207
09-Jan-23,1.27,4.25,21.78,17952.55,18141.4,17936.15,18101.2,1,26.2,0.000614668,-707,3399
10-Jan-23,1.28,4.2,21.56,18121.3,18127.6,17856,17914.15,-1,28,0.000774506,-498,1286
11-Jan-23,1.28,4.2,21.52,17924.25,17976.35,17824.35,17895.7,-7,31.2,0.000884971,-868,622
12-Jan-23,1.29,4.19,21.47,17920.85,17945.8,17761.65,17858.2,-10,33.4,0.000934428,-873,373
13-Jan-23,1.28,4.21,21.54,17867.5,17999.35,17774.25,17956.6,-3,39,0.000981614,-573,516
16-Jan-23,1.38,4.19,21.34,18033.15,18049.65,17853.65,17894.85,-6,41,0.000901485,-2951,2266
17-Jan-23,1.37,4.23,21.53,17922.8,18072.05,17886.95,18053.3,-8,41.4,0.000852799,-213,743
18-Jan-23,1.36,4.26,21.67,18074.3,18183.75,18032.45,18165.35,-4,40,0.000873127,-628,351
19-Jan-23,1.37,4.24,21.56,18119.8,18155.2,18063.75,18107.85,-6,41.8,0.000870397,-2621,774
20-Jan-23,1.36,4.23,21.46,18115.6,18145.45,18016.2,18027.65,-2,42.2,0.000935718,-1449,-194
23-Jan-23,1.35,4.25,21.6,18118.45,18162.6,18063.45,18118.55,-3,42.8,0.000939664,-2902,1083
24-Jan-23,1.36,4.25,21.49,18183.95,18201.25,18078.65,18118.3,4,46.4,0.000927406,-203,1724
25-Jan-23,1.37,4.19,21.19,18093.35,18100.6,17846.15,17891.95,0,47.6,0.000908066,-2109,1807
27-Jan-23,1.4,4.13,20.7,17877.2,17884.75,17493.55,17604.35,-3,48.6,0.000845124,-3208,2431
30-Jan-23,1.39,4.14,20.73,17541.95,17709.15,17405.55,17648.95,-1,47.6,0.000759083,-1663,2128
31-Jan-23,1.39,4.14,20.73,17731.45,17735.7,17537.55,17662.15,1,48,0.000779523,-2422,1953
01-Feb-23,1.4,4.13,20.68,17811.6,17972.2,17353.4,17616.3,-15,49.4,0.000684935,-2422,1953
02-Feb-23,1.4,4.13,20.59,17517.1,17653.9,17445.95,17610.4,-13,48.8,0.000532747,-751,686
03-Feb-23,1.38,4.18,20.86,17721.75,17870.3,17584.2,17854.05,-7,47.4,0.000471228,211,91
06-Feb-23,1.39,4.16,20.71,17818.55,17823.7,17698.35,17764.6,2,46,0.000387006,-319,1226
07-Feb-23,1.39,4.15,20.5,17790.1,17811.15,17652.55,17721.5,-2,43.8,0.000271252,400,-129
08-Feb-23,1.42,4.19,21.1,17750.3,17898.7,17744.15,17871.7,-2,40.8,9.74E-05,-2002,1510
09-Feb-23,1.41,4.19,21.11,17885.5,17916.9,17779.8,17893.45,1,40.6,-0.000106874,-220,435
10-Feb-23,1.41,4.18,21.06,17847.55,17876.95,17801,17856.5,-2,41.8,-0.000289941,-761,1145
13-Feb-23,1.42,4.16,21.05,17859.1,17880.7,17719.75,17770.9,-2,40.8,-0.000525066,-2394,1378
14-Feb-23,1.35,4.2,21.21,17840.35,17954.55,17800.05,17929.85,2,41.8,-0.000859268,-5978,4252
15-Feb-23,1.41,4.22,21.31,17896.6,18034.1,17853.8,18015.85,3,42.6,-0.001029086,-6793,5513
16-Feb-23,1.38,4.23,21.26,18094.75,18134.75,18000.65,18035.85,-2,45.4,-0.001138248,-5440,4506
17-Feb-23,1.4,4.2,21.15,17974.85,18034.25,17884.6,17944.2,0,46.8,-0.001295927,1785,529
20-Feb-23,1.41,4.18,21.04,17965.55,18004.35,17818.4,17844.6,-3,49,-0.00146183,-3065,2371
21-Feb-23,1.38,4.18,21.01,17905.8,17924.9,17800.3,17826.7,0,52.6,-0.001587921,-932,1265
22-Feb-23,1.4,4.11,20.69,17755.35,17772.5,17529.45,17554.3,7,56.6,-0.001722611,-1218,1203
23-Feb-23,1.4,4.1,20.64,17574.65,17620.05,17455.4,17511.25,1,56.6,-0.001848551,-2560,640
24-Feb-23,1.42,4.09,20.58,17591.35,17599.75,17421.8,17465.8,0,56.4,-0.001999941,-737,941
27-Feb-23,1.43,4.07,20.49,17428.6,17451.6,17299,17392.7,-1,55.8,-0.00217484,-145,-205
28-Feb-23,1.44,4.05,20.39,17383.25,17440.45,17255.2,17303.95,-5,51.4,-0.002240514,1459,-291
01-Mar-23,1.43,4.09,20.56,17360.1,17467.75,17345.25,17450.9,-4,47.4,-0.002279557,1322,522
02-Mar-23,1.44,4.06,20.41,17421.5,17445.8,17306,17321.9,-8,43.6,-0.002379333,1305,205
03-Mar-23,1.41,4.12,20.73,17451.25,17644.75,17427.7,17594.35,-16,40.2,-0.002451952,432,517
06-Mar-23,1.41,4.15,20.87,17680.35,17799.95,17671.95,17711.45,-13,36.6,-0.002534719,1570,1577
08-Mar-23,1.4,4.16,20.92,17665.75,17766.5,17602.25,17754.4,-3,32.4,-0.002559402,-624.61,-85.29
09-Mar-23,1.41,4.12,20.73,17772.05,17772.35,17573.6,17589.6,-4,27.8,-0.002555898,-159,86
10-Mar-23,1.43,4.08,20.52,17443.8,17451.5,17324.35,17412.9,-1,26.8,-0.002559832,526,-235
13-Mar-23,1.45,4.02,20.21,17421.9,17529.9,17113.45,17154.3,3,26.8,-0.002441804,-580,372
14-Mar-23,1.46,3.99,20.08,17160.55,17224.65,16987.1,17043.3,-3,29.8,-0.002287212,-1417,1586
15-Mar-23,1.47,3.97,20,17166.45,17211.35,16938.9,16972.15,1,32.8,-0.002223907,-1470,1401
16-Mar-23,1.47,3.98,20.01,16994.65,17062.45,16850.15,16985.6,-8,34.6,-0.002207035,-2023,2232
17-Mar-23,1.46,4,20.15,17111.8,17145.8,16958.15,17100.05,-13,34,-0.002025945,-4559,4610
20-Mar-23,1.47,3.98,20.02,17066.6,17066.6,16828.35,16988.4,-18,33.4,-0.001982925,-425,1499
21-Mar-23,1.46,4.01,20.16,17060.4,17127.7,17016,17107.5,-13,33.8,-0.001873436,12771,2129
22-Mar-23,1.45,4.02,20.21,17177.45,17207.25,17107.85,17151.9,-14,33.2,-0.001816975,246,2090
23-Mar-23,1.46,4,20.12,17097.4,17205.4,17045.3,17076.9,-1,34.4,-0.001785525,721,757
24-Mar-23,1.47,3.97,19.97,17076.2,17109.45,16917.35,16945.05,-11,33.4,-0.001731959,3672,-938
27-Mar-23,1.47,3.98,20.01,16984.3,17091,16918.55,16985.7,1,32,-0.00174292,-562,42
28-Mar-23,1.47,3.97,19.97,17031.75,17061.75,16913.75,16951.7,-2,29.2,-0.001720612,-2061,1350
29-Mar-23,1.46,4,20.13,16977.3,17126.15,16940.6,17080.7,-4,29.2,-0.00161046,-1547,1419
31-Mar-23,1.44,4.06,20.44,17210.35,17381.6,17204.65,17359.75,-6,28.8,-0.001565789,-3087,2122
03-Apr-23,1.43,4.07,20.48,17427.95,17428.05,17312.75,17398.05,-8,30.8,-0.001661769,-1271,1824
05-Apr-23,1.41,4.11,20.67,17422.3,17570.55,17402.7,17557.05,-7,33,-0.001701441,-282,2051
06-Apr-23,1.41,4.12,20.72,17533.85,17638.7,17502.85,17599.15,0,35.6,-0.001802797,-1767,1817
10-Apr-23,1.41,4.13,20.75,17634.9,17694.1,17597.95,17624.05,4,41,-0.001846349,-2546,2877
11-Apr-23,1.4,4.15,20.86,17704.8,17748.75,17655.15,17722.3,6,45.6,-0.0017509,-1455,1946
12-Apr-23,1.39,4.17,20.97,17759.55,17825.75,17717.25,17812.4,8,51.2,-0.001651811,62,384
13-Apr-23,1.4,4.17,20.99,17807.3,17842.15,17729.65,17828,9,56.8,-0.001456952,-995,1669
17-Apr-23,1.41,4.14,20.82,17863,17863,17574.05,17706.85,11,61.8,-0.001212477,-1720,2556
18-Apr-23,1.41,4.13,20.65,17766.6,17766.6,17610.2,17660.15,11,66.6,-0.001052462,-891,1809
19-Apr-23,1.42,4.12,20.6,17653.35,17666.15,17579.85,17618.75,9,72.8,-0.00092443,1531,-156
20-Apr-23,1.42,4.13,20.61,17638.6,17684.45,17584.35,17624.45,10,77.8,-0.00077599,1245,823
21-Apr-23,1.42,4.13,20.61,17639.75,17663.2,17553.95,17624.05,12,82.2,-0.000688362,358,2480
24-Apr-23,1.41,4.15,20.74,17707.55,17754.5,17612.5,17743.4,10,85.4,-0.000613518,322,-328
25-Apr-23,1.41,4.16,20.56,17761.55,17807.45,17716.85,17769.25,6,84.6,-0.000589488,807,-947
26-Apr-23,1.4,4.17,20.59,17767.3,17827.75,17711.2,17813.6,3,82.8,-0.000658285,476,-997
27-Apr-23,1.39,4.19,20.7,17813.1,17931.6,17797.9,17915.05,0,80.2,-0.000678876,883,352
28-Apr-23,1.38,4.23,20.87,17950.4,18089.15,17885.3,18065,7,77.2,-0.000757136,343,-264
02-May-23,1.38,4.25,20.92,18124.8,18180.25,18101.75,18147.65,11,75.8,-0.000817812,1908,-225
03-May-23,1.38,4.23,21.33,18113.8,18116.35,18042.4,18089.85,6,75,-0.000897952,222,-274
04-May-23,1.37,4.27,21.85,18081,18267.45,18066.7,18255.8,11,74.2,-0.000824326,-533,270
05-May-23,1.38,4.23,21.62,18117.3,18216.95,18055.45,18069,20,74.8,-0.000841162,-811,402
08-May-23,1.37,4.28,21.77,18120.6,18286.95,18100.3,18264.4,28,76.4,-0.000666406,-13,-110
09-May-23,1.37,4.28,21.77,18303.4,18344.2,18229.65,18265.95,10,77.6,-0.000510056,-1169,833
10-May-23,1.36,4.29,21.88,18313.6,18326.75,18211.95,18315.1,13,79.6,-0.000329243,-2117,1633
11-May-23,1.36,4.28,21.86,18357.8,18389.7,18270.4,18297,19,80.8,-0.000123554,-412,1177
12-May-23,1.28,4.29,21.82,18273.75,18342.75,18194.55,18314.8,19,83.6,7.34E-05,-407,564
15-May-23,1.27,4.31,21.92,18339.3,18458.9,18287.9,18398.85,21,86.6,0.000274301,1257,-228
16-May-23,1.48,4.28,21.59,18432.35,18432.35,18264.35,18286.5,14,87.6,0.000417648,1653,97
17-May-23,1.49,4.26,21.47,18300.45,18309,18115.35,18181.75,23,87.4,0.000563744,3304,264
18-May-23,1.5,4.24,21.39,18287.5,18297.2,18104.85,18129.95,14,86.8,0.00063565,1997,-394
19-May-23,1.5,4.26,21.48,18186.15,18218.1,18060.4,18203.4,11,85.4,0.000784816,1338,-584
22-May-23,1.49,4.29,21.36,18201.1,18335.25,18178.85,18314.4,7,82.6,0.000922335,1415,442
23-May-23,1.49,4.29,21.41,18362.9,18419.75,18324.2,18348,3,78.6,0.001100926,778,-2199
24-May-23,1.49,4.28,21.24,18294.8,18392.6,18262.95,18285.4,2,73,0.001177086,2124,245
25-May-23,1.43,4.29,21.28,18268.9,18338.1,18202.4,18321.15,1,70,0.001198165,1942,405
26-May-23,1.34,4.33,21.54,18368.35,18508.55,18333.15,18499.35,6,67.6,0.001184799,1833,-790
29-May-23,1.34,4.35,21.65,18619.15,18641.2,18581.25,18598.65,12,64.8,0.001136727,837,-200
30-May-23,1.44,4.36,21.7,18606.65,18662.45,18575.5,18633.85,1,62.8,0.00104151,1014,-922
31-May-23,1.36,4.33,21.59,18594.2,18603.9,18483.85,18534.4,3,61.4,0.000990968,1685,191
01-Jun-23,1.36,4.32,21.53,18579.4,18580.3,18464.55,18487.75,14,62.4,0.000903517,1407,-886
02-Jun-23,1.45,4.33,21.58,18550.85,18573.7,18478.4,18534.1,26,64.2,0.000794083,149,-204
05-Jun-23,1.44,4.35,21.65,18612,18640.15,18582.8,18593.85,12,66.6,0.000701436,970,-849
06-Jun-23,1.44,4.35,21.66,18600.8,18622.75,18531.6,18599,14,68.8,0.000584736,-113,1071
07-Jun-23,1.43,4.38,21.81,18665.6,18738.95,18636,18726.4,15,72.2,0.000559614,923,605
08-Jun-23,1.44,4.36,21.7,18725.35,18777.9,18615.6,18634.55,15,75.2,0.000600756,183,397
09-Jun-23,1.45,4.34,21.62,18655.9,18676.65,18555.4,18563.4,12,77,0.000637597,1186,301
12-Jun-23,1.44,4.35,21.66,18595.05,18633.6,18559.75,18601.5,8,78,0.000693517,589,338
13-Jun-23,1.43,4.37,21.79,18631.8,18728.9,18631.8,18716.15,17,79.6,0.000717386,350,1841
14-Jun-23,1.43,4.38,21.84,18744.6,18769.7,18690,18755.9,14,80,0.000796925,1758,854
15-Jun-23,1.39,4.37,21.76,18774.45,18794.1,18669.05,18688.1,3,76.8,0.000849774,2086,-439
16-Jun-23,1.39,4.4,21.92,18723.3,18864.7,18710.5,18826,2,74.2,0.000917663,3406,-2529
19-Jun-23,1.42,4.38,21.84,18873.3,18881.45,18719.15,18755.45,8,73.2,0.000860807,-71,489
20-Jun-23,1.4,4.4,21.91,18752.35,18839.7,18660.65,18816.7,9,73.4,0.000828446,-659,582
21-Jun-23,1.4,4.41,21.96,18849.4,18875.9,18794.85,18856.85,10,73.4,0.000781852,-701,1196
22-Jun-23,1.44,4.39,21.85,18853.6,18886.6,18759.5,18771.25,16,73.2,0.000706046,386,-489
23-Jun-23,1.45,4.36,21.73,18741.85,18756.4,18647.1,18665.5,10,71.8,0.000600113,1383,392
26-Jun-23,1.45,4.37,21.76,18682.35,18722.05,18646.7,18691.2,3,71.6,0.000479461,212,-405
27-Jun-23,1.44,4.4,21.9,18748.55,18829.25,18714.25,18817.4,7,70.2,0.000451325,-309,1246
28-Jun-23,1.43,4.43,22.08,18908.15,19011.25,18861.35,18972.1,0,67.6,0.000383232,-627,1794
30-Jun-23,1.41,4.5,22.36,19076.85,19201.7,19024.6,19189.05,-1,65.4,0.000354191,1678,-203
03-Jul-23,1.4,4.53,22.51,19246.5,19345.1,19234.4,19322.55,2,63.6,0.000298484,1715,-655
04-Jul-23,1.38,4.54,22.59,19406.6,19434.15,19300,19389,5,62,0.000223112,3086,-298
05-Jul-23,1.38,4.55,22.6,19405.95,19421.6,19339.6,19398.5,12,63.2,7.33E-05,795,681
