Date,FIICash,DIIcash
2021-02-01,1494.0,-90.0
2021-02-02,6182.0,-2035.0
2021-02-03,2521.0,-400.0
2021-02-04,1937.0,-769.0
2021-02-05,1462.0,-1419.0
2021-02-08,1877.0,-505.0
2021-02-09,1301.0,-1756.0
2021-02-10,1787.0,-2076.0
2021-02-11,944.0,-708.0
2021-02-12,-37.0,-598.0
2021-02-15,1234.0,-1049.0
2021-02-16,1144.0,-1560.0
2021-02-17,1008.0,-1283.0
2021-02-18,903.0,-1217.0
2021-02-19,119.0,-1175.0
2021-02-22,-893.0,-920.0
2021-02-23,-1569.0,217.0
2021-02-24,28739.0,230.0
2021-02-25,188.0,-747.0
2021-02-26,-8295.0,1500.0
2021-03-01,125.0,-195.0
2021-03-02,2053.0,-854.0
2021-03-03,2089.0,393.0
2021-03-04,-223.0,-788.0
2021-03-05,-2014.0,-1191.0
2021-03-08,-1494.0,484.0
2021-03-09,2802.0,1250.0
2021-03-10,-16.0,448.0
2021-03-12,-943.0,-164.0
2021-03-15,-1101.0,-750.0
2021-03-16,1692.0,-1169.0
2021-03-17,2626.0,-562.0
2021-03-18,1258.0,-1116.0
2021-03-19,1418.0,560.0
2021-03-22,-787.0,543.0
2021-03-23,-108.0,-530.0
2021-03-24,-1952.0,613.0
2021-03-25,-3384.0,2268.0
2021-03-26,-50.0,1703.0
2021-03-30,769.0,2181.0
2021-03-31,-1686.0,2082.0
2021-04-01,149.0,-297.0
2021-04-05,-932.0,75.0
2021-04-06,-1093.0,417.0
2021-04-07,227.0,381.0
2021-04-08,111.0,553.0
2021-04-09,-654.0,-271.0
2021-04-12,-1746.0,233.0
2021-04-13,-731.0,244.0
2021-04-15,980.0,-527.0
2021-04-16,438.0,658.0
2021-04-19,-1634.0,2356.0
2021-04-20,-1082.0,1323.0
2021-04-22,-910.0,850.0
2021-04-23,-1361.0,1696.0
2021-04-26,-1112.0,1023.0
2021-04-27,-1455.0,1463.0
2021-04-28,766.0,436.0
2021-04-29,809.0,-942.0
2021-04-30,-3465.0,1419.0
2021-05-03,-2289.0,553.0
2021-05-04,-1772.0,987.0
2021-05-05,-1111.0,-241.0
2021-05-06,1223.0,-633.0
2021-05-07,-1143.0,1468.0
2021-05-10,584.0,-476.0
2021-05-11,-336.0,-677.0
2021-05-12,-1261.0,-704.0
2021-05-14,-2608.0,613.0
2021-05-17,-2256.0,1948.0
2021-05-18,618.0,450.0
2021-05-19,-698.0,-853.0
2021-05-20,71.0,-876.0
2021-05-21,510.0,649.0
2021-05-24,585.0,-708.0
2021-05-25,960.0,-564.0
2021-05-26,242.0,-439.0
2021-05-27,-661.0,112.0
2021-05-28,914.0,1275.0
2021-05-31,2412.0,180.0
2021-06-01,-450.0,230.0
2021-06-02,921.0,242.0
2021-06-03,1079.0,-279.0
2021-06-04,1499.0,-1175.0
2021-06-07,-186.0,984.0
2021-06-08,1423.0,-1627.0
2021-06-09,-846.0,-272.0
2021-06-10,1330.0,-575.0
2021-06-11,19.0,666.0
2021-06-14,-504.0,544.0
2021-06-15,634.0,-649.0
2021-06-16,-870.0,-874.0
2021-06-17,-880.0,45.0
2021-06-18,2681.0,446.0
2021-06-21,-1245.0,138.0
2021-06-22,-1028.0,302.0
2021-06-23,3157.0,1317.0
2021-06-24,-2891.0,1139.0
2021-06-25,-679.0,1833.0
2021-06-28,-1659.0,1277.0
2021-06-29,117.0,1810.0
2021-06-30,-1647.0,1520.0
2021-07-01,-1245.0,881.0
2021-07-02,-983.0,930.0
2021-07-05,-338.0,646.0
2021-07-06,-543.0,521.0
2021-07-07,533.0,-232.0
2021-07-08,-555.0,-949.0
2021-07-09,-1125.0,107.0
2021-07-12,-746.0,447.0
2021-07-13,114.0,344.0
2021-07-14,-1304.0,1336.0
2021-07-15,-265.0,439.0
2021-07-16,-466.0,666.0
2021-07-19,-2199.0,1048.0
2021-07-20,-2835.0,873.0
2021-07-22,-248.0,943.0
2021-07-23,-163.0,2188.0
2021-07-26,-2377.0,1551.0
2021-07-27,-1459.0,730.0
2021-07-28,-2275.0,921.0
2021-07-29,-866.0,2046.0
2021-07-30,-3848.0,2957.0
2021-08-02,-1540.0,1506.0
2021-08-03,2117.0,-299.0
2021-08-04,2829.0,-411.0
2021-08-05,-720.0,732.0
2021-08-06,-69.0,-631.0
2021-08-09,212.0,-716.0
2021-08-10,-179.0,689.0
2021-08-11,238.0,206.0
2021-08-12,-212.0,308.0
2021-08-13,820.0,150.0
2021-08-16,-1088.0,506.0
2021-08-17,-344.0,266.0
2021-08-18,-595.0,-729.0
2021-08-20,-2287.0,119.0
2021-08-23,-1363.0,1453.0
2021-08-24,-1645.0,2380.0
2021-08-25,-1072.0,-151.0
2021-08-26,-1974.0,1055.0
2021-08-27,-779.0,1646.0
2021-08-30,1203.0,689.0
2021-08-31,3881.0,-1872.0
2021-09-01,667.0,-1288.0
2021-09-02,349.0,382.0
2021-09-03,769.0,669.0
2021-09-06,-589.0,547.0
2021-09-07,-145.0,-137.0
2021-09-08,-803.0,1.0
2021-09-09,423.0,704.0
2021-09-13,1419.0,-560.0
2021-09-14,1650.0,-310.0
2021-09-15,233.0,168.0
2021-09-15,233.0,168.0
2021-09-16,1622.0,-795.0
2021-09-17,1553.0,-1399.0
2021-09-20,93.0,-1627.0
2021-09-21,1042.0,2168.0
2021-09-22,-1943.0,1850.0
2021-09-23,358.0,1173.0
2021-09-24,442.0,-516.0
2021-09-27,-595.0,1398.0
2021-09-28,-1958.0,161.0
2021-09-29,-1446.0,3262.0
2021-09-30,-2226.0,97.0
2021-10-01,131.0,-613.0
2021-10-04,861.0,228.0
2021-10-05,-1915.0,1868.0
2021-10-06,-803.0,-999.0
2021-10-07,-1764.0,2529.0
2021-10-08,-64.0,-168.0
2021-10-11,-1303.0,-373.0
2021-10-12,-278.0,-741.0
2021-10-13,937.0,-432.0
2021-10-14,1682.0,-1751.0
2021-10-18,512.0,-1704.0
2021-10-19,-506.0,-2578.0
2021-10-20,-1843.0,-1681.0
2021-10-21,-2819.0,428.0
2021-10-22,-2698.0,1030.0
2021-10-25,-2459.0,2390.0
2021-10-26,-2369.0,1385.0
2021-10-27,-1913.0,472.0
2021-10-28,-3819.0,837.0
2021-10-29,-5143.0,4343.0
2021-11-01,-202.0,116.0
2021-11-02,245.0,-6.0
2021-11-03,-401.0,196.0
2021-11-04,-328.0,38.0
2021-11-08,-861.0,1912.0
2021-11-09,-2445.0,1418.0
2021-11-10,-470.0,767.0
2021-11-11,-1637.0,446.0
2021-11-12,511.0,851.0
2021-11-15,425.0,1525.0
2021-11-16,-561.0,577.0
2021-11-17,-344.0,-61.0
2021-11-18,-3931.0,1886.0
2021-11-22,-3439.0,2051.0
2021-11-23,-4477.0,1412.0
2021-11-24,-5123.0,3810.0
2021-11-25,-2301.0,1368.0
2021-11-26,-5786.0,2294.0
2021-11-29,-3332.0,4611.0
2021-11-30,-5445.0,5350.0
2021-12-01,-2766.0,3467.0
2021-12-02,-910.0,1373.0
2021-12-03,-3356.0,1649.0
2021-12-06,-3361.0,1702.0
2021-12-07,-2585.0,2606.0
2021-12-08,-579.0,1736.0
2021-12-09,-1586.0,783.0
2021-12-10,-1092.0,387.0
2021-12-13,-2743.0,1351.0
2021-12-14,-763.0,425.0
2021-12-15,-3407.0,1553.0
2021-12-16,-1469.0,1533.0
2021-12-17,-2070.0,1479.0
2021-12-20,-3565.0,2764.0
2021-12-21,-1210.0,1405.0
2021-12-22,-827.0,1593.0
2021-12-23,-272.0,1196.0
2021-12-24,-715.0,-43.0
2021-12-27,-1038.0,956.0
2021-12-28,207.0,567.0
2021-12-29,-975.0,1007.0
2021-12-30,-986.0,578.0
2021-12-31,575.0,1166.0
2022-01-03,903.0,803.0
2022-01-04,1274.0,533.0
2022-01-05,337.0,1272.0
2022-01-06,-1927.0,801.0
2022-01-07,496.0,-116.0
2022-01-10,-124.0,482.0
2022-01-11,112.0,379.0
2022-01-12,-1002.0,1332.0
2022-01-13,-1391.0,1065.0
2022-01-14,-1598.0,371.0
2022-01-17,-855.0,-115.0
2022-01-18,-1255.0,-220.0
2022-01-19,-2705.0,-195.0
2022-01-20,-4680.0,769.0
2022-01-21,-3149.0,269.0
2022-01-24,-3752.0,75.0
2022-01-25,-7094.0,4535.0
2022-01-27,-6267.0,2881.0
2022-01-28,-5045.0,3359.0
2022-01-31,-3624.0,3649.0
2022-02-01,-22.0,1598.0
2022-02-02,-184.0,426.0
2022-02-03,-1598.0,-371.0
2022-02-04,-2268.0,622.0
2022-02-07,-1157.0,-1376.0
2022-02-08,-1968.0,1115.0
2022-02-09,-893.0,1793.0
2022-02-10,-1733.0,2727.0
2022-02-11,109.0,-697.0
2022-02-14,-4254.0,2170.0
2022-02-15,-2299.0,4412.0
2022-02-16,-1891.0,1180.0
2022-02-17,-1242.0,901.0
2022-02-18,-2530.0,1929.0
2022-02-21,-2262.0,2393.0
2022-02-22,-3246.0,4109.0
2022-02-23,-3417.0,3024.0
2022-02-24,-6448.0,7668.0
2022-02-25,-4471.0,4318.0
2022-02-28,-3948.0,4143.0
2022-03-02,-4339.0,3062.0
2022-03-03,-6645.0,4799.0
2022-03-04,-7631.0,4739.0
2022-03-07,-7482.0,5331.0
2022-03-08,-8143.0,6490.0
2022-03-09,-4819.0,3276.0
2022-03-10,-1981.0,946.0
2022-03-11,-2264.0,1687.0
2022-03-14,-177.0,1099.0
2022-03-15,-1250.0,98.0
2022-03-16,312.0,773.0
2022-03-17,2800.0,-678.0
2022-03-21,-2962.0,253.0
2022-03-22,384.0,-602.0
2022-03-23,481.0,-294.0
2022-03-24,-1741.0,2091.0
2022-03-25,-1507.0,1373.0
2022-03-28,-801.0,1162.0
2022-03-29,35.0,1713.0
2022-03-30,1357.0,1216.0
2022-03-31,3089.0,1145.0
2022-04-01,1910.0,-184.0
2022-04-04,1152.0,1675.0
2022-04-05,375.0,105.0
2022-04-06,-2280.0,623.0
2022-04-07,-5010.0,1775.0
2022-04-08,-575.0,-17.0
2022-04-11,-1145.0,487.0
2022-04-12,-3128.0,870.0
2022-04-13,-2061.0,1411.0
2022-04-18,-6387.0,3342.0
2022-04-19,-5872.0,3981.0
2022-04-20,-3009.0,2646.0
2022-04-21,-714.0,2823.0
2022-04-22,-2462.0,1602.0
2022-04-25,-3303.0,1870.0
2022-04-26,-1174.0,1644.0
2022-04-27,-4065.0,1918.0
2022-04-28,743.0,781.0
2022-04-29,-3648.0,3490.0
2022-05-02,-1853.0,1951.0
2022-05-04,-3288.0,1338.0
2022-05-05,-2075.0,2229.0
2022-05-06,-5517.0,3015.0
2022-05-09,-3362.0,3077.0
2022-05-10,-3961.0,2958.0
2022-05-11,-3609.0,4181.0
2022-05-12,-5256.0,4816.0
2022-05-13,-3780.0,3170.0
2022-05-16,-1789.0,1428.0
2022-05-17,-2192.0,2294.0
2022-05-18,-1255.0,376.0
2022-05-19,-4900.0,3226.0
2022-05-20,-1265.0,2149.0
2022-05-23,-1951.0,1445.0
2022-05-24,-2393.0,1948.0
2022-05-25,-1803.0,2230.0
2022-05-26,-1598.0,2906.0
2022-05-27,-1943.0,2727.0
2022-05-30,502.0,1524.0
2022-05-31,-1004.0,1845.0
2022-06-01,-1930.0,984.0
2022-06-02,-452.0,131.0
2022-06-03,-3771.0,2361.0
2022-06-06,-2398.0,1940.0
2022-06-07,-2294.0,1311.0
2022-06-08,-2484.0,1904.0
2022-06-09,-1513.0,1625.0
2022-06-10,-3974.0,2831.0
2022-06-13,-4164.0,2815.0
2022-06-14,-4502.0,3808.0
2022-06-15,-3531.0,2588.0
2022-06-16,-3258.0,1929.0
2022-06-17,-7819.0,6087.0
2022-06-20,-1217.0,2093.0
2022-06-21,-2701.0,3066.0
2022-06-22,-2921.0,1859.0
2022-06-23,-2319.0,2438.0
2022-06-24,-2354.0,2213.0
2022-06-27,-1278.0,1184.0
2022-06-28,-1244.0,1206.0
2022-06-29,-851.0,847.0
2022-06-30,-1138.0,1378.0
2022-07-01,-2325.0,1311.0
2022-07-04,-2150.0,1688.0
2022-07-05,1296.0,-258.0
2022-07-06,-330.0,1464.0
2022-07-07,-925.0,981.0
2022-07-08,-109.0,35.0
2022-07-11,-171.0,-297.0
2022-07-12,-1566.0,141.0
2022-07-13,-2840.0,1799.0
2022-07-14,309.0,-556.0
2022-07-15,-1649.0,1059.0
2022-07-18,156.0,844.0
2022-07-19,976.0,-101.0
2022-07-20,1781.0,-230.0
2022-07-21,1799.0,-312.0
2022-07-22,-675.0,739.0
2022-07-25,-845.0,-72.0
2022-07-26,-1548.0,999.0
2022-07-27,-437.0,712.0
2022-07-28,1638.0,600.0
2022-07-29,1046.0,-1.0
2022-08-01,2321.0,-822.0
2022-08-02,825.0,118.0
2022-08-03,765.0,-518.0
2022-08-04,1475.0,-47.0
2022-08-05,1606.0,-496.0
2022-08-08,1450.0,-141.0
