TATACOFFEE,           Ratio_name Ratio_value company_name
0       margin_growth    0.899132      HAVELLS
1       margin_safety     5.91133      HAVELLS
2             ROA_pos           1      HAVELLS
3               fcfta           1      HAVELLS
4         accrual_pos           1      HAVELLS
5              fs_roa           1      HAVELLS
6           f_accrual           0      HAVELLS
7               lever           0      HAVELLS
8              liquid           0      HAVELLS
9   equity_repurchase           0      HAVELLS
10         asset_turn           0      HAVELLS
11          fs_margin           1      HAVELLS
GLAXO,           Ratio_name Ratio_value company_name
0       margin_growth    0.948647        GLAXO
1       margin_safety     4.39059        GLAXO
2             ROA_pos           1        GLAXO
3               fcfta           1        GLAXO
4         accrual_pos           1        GLAXO
5              fs_roa           1        GLAXO
6           f_accrual           0        GLAXO
7               lever           1        GLAXO
8              liquid           0        GLAXO
9   equity_repurchase           0        GLAXO
10         asset_turn           0        GLAXO
11          fs_margin           1        GLAXO
SHOPERSTOP,           Ratio_name Ratio_value company_name
0       margin_growth    0.953857   SHOPERSTOP
1       margin_safety    0.537885   SHOPERSTOP
2             ROA_pos           0   SHOPERSTOP
3               fcfta           1   SHOPERSTOP
4         accrual_pos           1   SHOPERSTOP
5              fs_roa           0   SHOPERSTOP
6           f_accrual           1   SHOPERSTOP
7               lever           1   SHOPERSTOP
8              liquid           0   SHOPERSTOP
9   equity_repurchase           1   SHOPERSTOP
10         asset_turn           0   SHOPERSTOP
11          fs_margin           0   SHOPERSTOP
IIFL,           Ratio_name Ratio_value company_name
0       margin_growth     0.89246         IIFL
1       margin_safety      4.3237         IIFL
2             ROA_pos           1         IIFL
3               fcfta           1         IIFL
4         accrual_pos           1         IIFL
5              fs_roa           1         IIFL
6           f_accrual           0         IIFL
7               lever           0         IIFL
8              liquid           1         IIFL
9   equity_repurchase           0         IIFL
10         asset_turn           0         IIFL
11          fs_margin           0         IIFL
NCC,           Ratio_name Ratio_value company_name
0       margin_growth    0.961235          NCC
1       margin_safety     3.51191          NCC
2             ROA_pos           1          NCC
3               fcfta           1          NCC
4         accrual_pos           1          NCC
5              fs_roa           0          NCC
6           f_accrual           1          NCC
7               lever           1          NCC
8              liquid           0          NCC
9   equity_repurchase           0          NCC
10         asset_turn           0          NCC
11          fs_margin           0          NCC
SOBHA,           Ratio_name Ratio_value company_name
0       margin_growth    0.967413        SOBHA
1       margin_safety     3.14452        SOBHA
2             ROA_pos           1        SOBHA
3               fcfta           1        SOBHA
4         accrual_pos           1        SOBHA
5              fs_roa           0        SOBHA
6           f_accrual           1        SOBHA
7               lever           1        SOBHA
8              liquid           1        SOBHA
9   equity_repurchase           0        SOBHA
10         asset_turn           0        SOBHA
11          fs_margin           1        SOBHA
GRASIM,           Ratio_name Ratio_value company_name
0       margin_growth    0.833061       GRASIM
1       margin_safety      3.3776       GRASIM
2             ROA_pos           1       GRASIM
3               fcfta           0       GRASIM
4         accrual_pos           0       GRASIM
5              fs_roa           0       GRASIM
6           f_accrual           0       GRASIM
7               lever           1       GRASIM
8              liquid           1       GRASIM
9   equity_repurchase           0       GRASIM
10         asset_turn           0       GRASIM
11          fs_margin           1       GRASIM
DELTACORP,           Ratio_name Ratio_value company_name
0       margin_growth     1.16665    DELTACORP
1       margin_safety    0.551052    DELTACORP
2             ROA_pos           0    DELTACORP
3               fcfta           0    DELTACORP
4         accrual_pos           0    DELTACORP
5              fs_roa           0    DELTACORP
6           f_accrual           0    DELTACORP
7               lever           1    DELTACORP
8              liquid           0    DELTACORP
9   equity_repurchase           0    DELTACORP
10         asset_turn           0    DELTACORP
11          fs_margin           0    DELTACORP
BHARATFORG,           Ratio_name Ratio_value company_name
0       margin_growth      0.9317   BHARATFORG
1       margin_safety     2.19118   BHARATFORG
2             ROA_pos           0   BHARATFORG
3               fcfta           1   BHARATFORG
4         accrual_pos           1   BHARATFORG
5              fs_roa           0   BHARATFORG
6           f_accrual           1   BHARATFORG
7               lever           0   BHARATFORG
8              liquid           0   BHARATFORG
9   equity_repurchase           1   BHARATFORG
10         asset_turn           0   BHARATFORG
11          fs_margin           0   BHARATFORG
SPANDANA,           Ratio_name Ratio_value company_name
0       margin_growth     0.94827     SPANDANA
1       margin_safety     2.50135     SPANDANA
2             ROA_pos           1     SPANDANA
3               fcfta           0     SPANDANA
4         accrual_pos           0     SPANDANA
5              fs_roa           0     SPANDANA
6           f_accrual           0     SPANDANA
7               lever           1     SPANDANA
8              liquid           0     SPANDANA
9   equity_repurchase           1     SPANDANA
